ticker,company,sector,fiscal_period,status,priority,required_missing,source_id,source_url
ACCESSCORP,Access Holdings,Banking,2022-12-31,complete,missing_period,,accesscorp-annual-report-2022,https://theaccesscorporation.com/wp-content/uploads/2023/07/ACCESS-HOLDINGS-PLCS-2022-ANNUAL-REPORT.pdf
ACCESSCORP,Access Holdings,Banking,2023-12-31,complete,missing_period,,accesscorp-annual-report-2023,https://theaccesscorporation.com/ACCESS-HOLDINGS-PLC-2023-ANNUAL-REPORT.pdf
AIICO,AIICO Insurance,Insurance,2022-12-31,complete,missing_period,,aiico-annual-report-2022,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_2022_Annual_Report.pdf
AIICO,AIICO Insurance,Insurance,2023-12-31,complete,missing_period,,aiico-annual-report-2023,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_Insurance_2023_Annual_Report.pdf
DANGCEM,Dangote Cement,Industrial Goods,2022-12-31,complete,missing_period,,dangcem-annual-report-2022,https://www.dangotecement.com/wp-content/uploads/2023/04/DCP-2022-Annual-Report-UPDATED.pdf
DANGCEM,Dangote Cement,Industrial Goods,2023-12-31,complete,missing_period,,dangcem-annual-report-2023,https://www.dangotecement.com/wp-content/uploads/2024/04/DCP-Annual-Report_AR23_full.pdf
FBNH,FBN Holdings,Banking,2022-12-31,complete,missing_period,,fbnh-annual-report-2022,https://first-holdco.com/wp-content/uploads/2025/10/FBNHoldings-Plc_2022_Annual_Report.pdf
FBNH,FBN Holdings,Banking,2023-12-31,complete,missing_period,,fbnh-annual-report-2023,https://first-holdco.com/downloads/2024/FBNHoldings_Plc_2023_Annual_Report_and_Accounts.pdf
GTCO,Guaranty Trust Holding,Banking,2022-12-31,complete,missing_period,,gtco-annual-report-2022,https://gtco-plc.files.svdcdn.com/production/financial-information/2022-Annual-Report.pdf?dm=1687801902
GTCO,Guaranty Trust Holding,Banking,2023-12-31,complete,missing_period,,gtco-annual-report-2023,https://gtco-plc.files.svdcdn.com/production/annual-reports/2023-annual-report/2023-Annual-Report.pdf?dm=1716814519
MTNN,MTN Nigeria Communications,Telecommunications,2022-12-31,complete,missing_period,,mtnn-annual-report-2022,https://www.mtn.ng/wp-content/uploads/2023/07/MTN-Nigeria-Annual-Report-2022.pdf?x53449
MTNN,MTN Nigeria Communications,Telecommunications,2023-12-31,complete,missing_period,,mtnn-annual-report-2023,https://www.mtn.ng/wp-content/uploads/2024/04/MTN-Nigeria-2023-Annual-Report.pdf?x53449
