ticker,fiscal_period,publication_date,book_equity,shares_outstanding,earnings_per_share,revenue,net_income,total_assets,total_liabilities,currency,monetary_unit_multiplier,shares_unit_multiplier,reporting_scope,source_id,source_url,source_sha256,source_document,page_reference,notes,effective_from,effective_date_source
TOTAL,2023-12-31,,56077742000,339521837,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,total-annual-report-2023,https://doclib.ngxgroup.com/Financial_NewsDocs/40605_TOTALENERGIES_MARKETING_NIGERIA_PLC-_QUARTER_5_-_FINANCIAL_STATEMENT_FOR_2023_FINANCIAL_STATEMENTS_MARCH_2024.pdf,bb9cf18c3da1869bacccff33cf257a955e7a63441e9b518b6796a9ace55013de,total-annual-report-2023.pdf,book_equity p.47; shares_outstanding p.76; unit p.47,"Single-company statement of financial position reports total equity N'000 56,077,742; EPS note states 339,521,837 ordinary shares and that the denominator is based on issued and paid shares at year end. Board approval 2024-03-22 is not treated as filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
PRESCO,2022-12-31,,34160565000,1000000000,,,,,,NGN,1000,1,consolidated_total_equity_as_reported,presco-annual-report-2022,https://www.presco-plc.com/downloads/annual-report-consolidated-and-separate-financial-statements-for-the-year-ended-31-december-2022/,d479df4e4fea2b1af5bb12d53e458a9563ddd3390dad9b1bce4af3a664a5a883,presco-annual-report-2022.pdf,book_equity p.29; shares_outstanding p.5; unit p.29,"Consolidated statement reports group total equity N'000 34,160,565 without a separate non-controlling-interest line; scope is therefore the group total as reported. Directors' shareholding structure reports 1,000,000,000 issued shares. Board approval 2023-07-25 is not a filing date; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
GTCO,2022-12-31,,912004127000,29431180000,,,,,,NGN,1000,1,consolidated_attributable_to_owners,gtco-annual-report-2022,https://gtco-plc.files.svdcdn.com/production/financial-information/2022-Annual-Report.pdf?dm=1687801902,0a8acebfc460dba55902634b2268fa89e534a9cd65eb17c9fcc9df8654c3b490,gtco-annual-report-2022.pdf,book_equity p.85; shares_outstanding p.288; unit p.85,"Consolidated capital and reserves attributable to parent owners are N'000 912,004,127, excluding NCI. Note 40 reports 29,431,180 thousand issued ordinary shares. Treasury shares are disclosed by monetary carrying amount, but the report does not state their number; the shares field preserves gross issued shares and should be interpreted with this limitation. Board approval 2023-01-27 is not treated as filing; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
GTCO,2023-12-31,,1447641750000,29431179224,,,,,,NGN,1000,1,consolidated_attributable_to_owners,gtco-annual-report-2023,https://gtco-plc.files.svdcdn.com/production/annual-reports/2023-annual-report/2023-Annual-Report.pdf?dm=1716814519,42b50218ad8722e569532f6b54c8812173b47c1f213189a59bb0bfa7d5c38a8d,gtco-annual-report-2023.pdf,book_equity p.90; shares_outstanding p.371; unit p.90,"Group capital and reserves attributable to equity holders of the parent, excluding non-controlling interest. Issued ordinary shares stated in the official annual report. Board approval 2024-01-30 does not establish public availability; 90-day publication lag applies.",2024-03-30,FIXED_LAG_ESTIMATE
WAPCO,2022-12-31,,416102005000,16107795721,,,,,,NGN,1000,1,consolidated_attributable_to_owners,wapco-annual-report-2022,https://www.lafarge.com.ng/sites/nigeria/files/2023-02/lafarge-africa-plc-2022-audited-financial-statements.pdf,11aefdc35058b3765c0dcf3e39787d6026264cb6b395ac8ac7366f65d365aa1e,wapco-annual-report-2022.pdf,book_equity p.17; shares_outstanding p.4; unit p.17,"Group capital and reserves attributable to owners are N'000 416,102,005. Directors' report states 16,107,795,721 issued and fully paid ordinary shares. Publication date not established from the report; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
NESTLE,2023-12-31,,-78035156000,792656252,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,nestle-annual-report-2023,https://www.nestle-cwa.com/sites/g/files/pydnoa346/files/2024-05/2023-annual-report.pdf,54f0c2fb703d22695919d248f745d7188046eae32ceaaeb7682a88c5174e0af9,nestle-annual-report-2023.pdf,book_equity p.55; shares_outstanding p.91; unit p.55,"Single-company statement reports negative total equity N'000 (78,035,156); note 16 confirms 792,656,252 ordinary shares. Negative book equity is retained and excluded from positive B/M sorts. Board approval 2024-02-26 is not treated as filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
NB,2022-12-31,2023-02-24,179800278000,10276132378,,,,,,NGN,1000,1,consolidated_attributable_to_owners,nb-annual-report-2022,https://www.nbplc.com/storage/2023/04/NB-Plc-2022-Annual-Report-and-Account.pdf,3df2f654c4b2c3a00706a59b420c98392f9e99a28c60d4cba935588c327883f7,nb-annual-report-2022.pdf,book_equity p.60; shares_outstanding p.134; unit p.60,"Equity attributable to owners, excluding non-controlling interest. Consolidated statement reports N'000; issued and fully paid share capital is 10,276,132,378 ordinary shares. Publication date follows the reviewed NGX filing-calendar date.",2023-02-24,ACTUAL_PUBLICATION_DATE
AIICO,2022-12-31,,44585606000,36605276013,,,,,,NGN,1000,1,consolidated_attributable_to_owners,aiico-annual-report-2022,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_2022_Annual_Report.pdf,124aa86c988ce8ed480e5d9bd0f6ec72aa1ea825593897ed8882bed6fc98f0e1,aiico-annual-report-2022.pdf,book_equity p.113; shares_outstanding p.151; unit p.113,"Group shareholders' funds, excluding non-controlling interest. Issued and fully paid year-end ordinary shares. Board approval 2023-02-28 does not establish public availability; 90-day publication lag applies.",2023-03-31,FIXED_LAG_ESTIMATE
SEPLAT,2022-12-31,,789857000000,588444561,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,seplat-annual-report-2022,https://www.seplatenergy.com/media/024plwr5/seplat-energy-ar-2022.pdf,25bfceec3676f6c5862f3d5d8f47be5f3803ef512b9332ac9e1059ffe0ed4872,seplat-annual-report-2022.pdf,book_equity p.137; shares_outstanding p.195; unit p.137,"Consolidated statement reports total shareholders' equity N'million 786,894 including negative NCI (2,963); parent-attributable book equity is N'million 789,857 (total less NCI). Note 27 reports 588,444,561 shares in issue after treasury shares. Board approval 2023-02-28 is not treated as filing; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
NESTLE,2022-12-31,,30291224000,792656252,,,,,,NGN,1000,1,company_as_reported_single_statement_scope,nestle-annual-report-2022,https://www.nestle-cwa.com/sites/g/files/pydnoa346/files/2023-04/Nestle%20Annual%20Report%202022_0.pdf,118fb6a7d9f144b0dfcf1bf68f1d1c8fdb3a95de69d1344599e374e72e45e7b0,nestle-annual-report-2022.pdf,book_equity p.51; shares_outstanding p.83; unit p.51,"Single-company statement reports total equity N'000 30,291,224; note 14 confirms 792,656,252 ordinary shares. Board approval 2023-02-24 is not treated as filing; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
ZENITHBANK,2022-12-31,,1378127000000,31396493787,,,,,,NGN,1000000,1,consolidated_attributable_to_owners,zenithbank-annual-report-2022,https://www.zenithbank.com/media/5qxhbr1t/zb-2022-annual-report.pdf,84f2e8f0ed91d5ca06e2abf63727e10cca4de574aa104418a0a3ca6d3135d732,zenithbank-annual-report-2022.pdf,book_equity p.95; shares_outstanding p.45; unit p.95,"Consolidated statement reports equity attributable to parent holders N'million 1,378,127, excluding NCI. Shareholding analysis sums to 31,396,493,787 shares at year end. The report was board-approved 2023-01-26, not publicly filed on that date; 90-day fixed-lag policy applies.",2023-03-31,FIXED_LAG_ESTIMATE
PRESCO,2023-12-31,,57163053000,1000000000,,,,,,NGN,1000,1,consolidated_total_equity_as_reported,presco-annual-report-2023,https://www.presco-plc.com/prescoPLC/assets/File/PRESCO%20%20Annual%20Report%20and%20Account%202023.pdf,be3fbb422df1fe720996ed926a3fb03d5b3d50ac42dface057c54cdee86dce88,presco-annual-report-2023.pdf,book_equity p.44; shares_outstanding p.19; unit p.44,"Consolidated statement reports group total equity N'000 57,163,053 without a separate non-controlling-interest line; scope is group total as reported. Directors' report explicitly lists 1,000,000,000 issued shares in both 2023 and 2022. Board approval 2024-03-21 is not treated as filing; 90-day fixed-lag policy applies.",2024-03-30,FIXED_LAG_ESTIMATE
