review_status,reviewer,reviewed_at,ticker,fiscal_period,publication_date,book_equity,shares_outstanding,earnings_per_share,revenue,net_income,total_assets,total_liabilities,currency,unit_multiplier,reporting_scope,source_id,source_url,source_sha256,source_document,book_equity_page,shares_outstanding_page,unit_page,notes,evidence_status,candidate_book_equity_pages,candidate_shares_outstanding_pages,candidate_unit_pages
blocked,,,ACCESSCORP,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,ACCESSCORP,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,AIICO,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,AIICO,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,DANGCEM,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,DANGCEM,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,FBNH,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,FBNH,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,GTCO,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,GTCO,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,MTNN,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,MTNN,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,NB,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,NB,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,NESTLE,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,NESTLE,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,OKOMUOIL,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,OKOMUOIL,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,PRESCO,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,PRESCO,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,SEPLAT,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,SEPLAT,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,TOTAL,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,TOTAL,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,UBA,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,UBA,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,WAPCO,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,WAPCO,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,ZENITHBANK,2022-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
blocked,,,ZENITHBANK,2023-12-31,,,,,,,,,NGN,,,,,,,,,,,document_unavailable,,,
