ticker,fiscal_period,source_url,publication_date,source_kind,notes
ACCESSCORP,2022-12-31,,,,
ACCESSCORP,2023-12-31,,,,
AIICO,2022-12-31,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_2022_Annual_Report.pdf,,issuer_annual_report,Selected from https://www.aiicoplc.com/index.php/about-us/investor-relations; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report candidate on official issuer page; publication date pending verification
AIICO,2023-12-31,https://www.aiicoplc.com/images/financialreports/Annual/AIICO_Insurance_2023_Annual_Report.pdf,,issuer_annual_report,Selected from https://www.aiicoplc.com/index.php/about-us/investor-relations; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report candidate on official issuer page; publication date pending verification
DANGCEM,2022-12-31,https://www.dangotecement.com/wp-content/uploads/2023/04/DCP-2022-Annual-Report-UPDATED.pdf,,issuer_annual_report,Selected from https://www.dangotecement.com/investor-relations/; reviewed by Codex-assisted source audit on 2026-09-23; Filename identifies the complete annual report; publication date pending verification
DANGCEM,2023-12-31,https://www.dangotecement.com/wp-content/uploads/2024/04/DCP-Annual-Report_AR23_full.pdf,,issuer_annual_report,Selected from https://www.dangotecement.com/investor-relations/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report candidate on official issuer page; publication date pending verification
FBNH,2022-12-31,https://first-holdco.com/wp-content/uploads/2025/10/FBNHoldings-Plc_2022_Annual_Report.pdf,,issuer_annual_report,Selected from https://first-holdco.com/investor-relations/annual-report/annual-reports/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official First HoldCo archive; publication date pending verification
FBNH,2023-12-31,https://first-holdco.com/downloads/2024/FBNHoldings_Plc_2023_Annual_Report_and_Accounts.pdf,,issuer_annual_report,Selected from https://first-holdco.com/investor-relations/annual-report/annual-reports/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official First HoldCo archive; publication date pending verification
GTCO,2022-12-31,,,,
GTCO,2023-12-31,https://gtco-plc.files.svdcdn.com/production/annual-reports/2023-annual-report/2023-Annual-Report.pdf?dm=1716814519,,issuer_annual_report,Selected from https://www.gtcoplc.com/investor-relations/annual-reports; reviewed by Codex-assisted source audit on 2026-09-23; Official annual-report path; publication date pending verification
MTNN,2022-12-31,https://www.mtn.ng/wp-content/uploads/2023/07/MTN-Nigeria-Annual-Report-2022.pdf?x53449,,issuer_annual_report,Selected from https://www.mtn.ng/investors/annual-report/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report candidate on official issuer page; publication date pending verification
MTNN,2023-12-31,https://www.mtn.ng/wp-content/uploads/2024/04/MTN-Nigeria-2023-Annual-Report.pdf?x53449,,issuer_annual_report,Selected from https://www.mtn.ng/investors/annual-report/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report candidate on official issuer page; publication date pending verification
NB,2022-12-31,https://www.nbplc.com/storage/2023/04/NB-Plc-2022-Annual-Report-and-Account.pdf,2023-02-24,issuer_annual_report,Selected from https://www.nbplc.com/investor-relations/financial-reports/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official issuer archive; publication date follows the NGX filing calendar
NB,2023-12-31,https://www.nbplc.com/storage/2024/05/NB-Plc-2023-Annual-Report-and-Accounts-FA.pdf,,issuer_annual_report,Selected from https://www.nbplc.com/investor-relations/financial-reports/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official issuer archive; publication date pending verification
NESTLE,2022-12-31,,,,
NESTLE,2023-12-31,,,,
OKOMUOIL,2022-12-31,,,,
OKOMUOIL,2023-12-31,,,,
PRESCO,2022-12-31,,,,
PRESCO,2023-12-31,,,,
SEPLAT,2022-12-31,,,,
SEPLAT,2023-12-31,,,,
TOTAL,2022-12-31,,,,
TOTAL,2023-12-31,,,,
UBA,2022-12-31,https://www.ubagroup.com/wp-content/uploads/2023/04/UBA-ANNUAL-REPORT-ACCOUNTS-2022.pdf,,issuer_annual_report,Selected from https://roa.ubagroup.com/investor-relations/financial-results/annual-report/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official issuer archive; publication date pending verification
UBA,2023-12-31,https://www.ubagroup.com/wp-content/uploads/2025/05/uba_AR2023.pdf,,issuer_annual_report,Selected from https://roa.ubagroup.com/investor-relations/financial-results/annual-report/; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official issuer archive; publication date pending verification
WAPCO,2022-12-31,,,,
WAPCO,2023-12-31,https://www.lafarge.com.ng/sites/nigeria/files/2024-04/lafarge-africa-plc-2023-annual-report-accounts.pdf,,issuer_annual_report,Selected from https://www.lafarge.com.ng/financial-reports; reviewed by Codex-assisted source audit on 2026-09-23; Complete annual report on the official issuer archive; publication date pending verification
ZENITHBANK,2022-12-31,,,,
ZENITHBANK,2023-12-31,,,,
