ticker,company,landing_url,verified_at,notes
ACCESSCORP,Access Holdings,https://theaccesscorporation.com/investor-relations/annual-reports/,2026-09-22,Official annual reports page
AIICO,AIICO Insurance,https://www.aiicoplc.com/index.php/about-us/investor-relations,2026-09-22,Official investor relations page
DANGCEM,Dangote Cement,https://www.dangotecement.com/investor-relations/,2026-09-22,Official investor relations page
FBNH,FBN Holdings,https://first-holdco.com/investor-relations/annual-report/annual-reports/,2026-09-23,Official annual reports archive
GTCO,Guaranty Trust Holding,https://www.gtcoplc.com/investor-relations/annual-reports,2026-09-22,Official annual reports page
MTNN,MTN Nigeria,https://www.mtn.ng/investors/annual-report/,2026-09-22,Official annual reports page
NB,Nigerian Breweries,https://www.nbplc.com/investor-relations/financial-reports/,2026-09-23,Official financial reports archive
NESTLE,Nestle Nigeria,https://www.nestle-cwa.com/en/investors/nigeria,2026-09-23,Official Nigeria investor reports page
OKOMUOIL,Okomu Oil Palm,https://okomunigeria.com/documents/governance-and-investors/,2026-09-23,Official governance and investor documents page
PRESCO,Presco,https://www.presco-plc.com/financial-reports/,2026-09-23,Official financial reports archive
SEPLAT,Seplat Energy,https://www.seplatenergy.com/investors/information-for-shareholders/,2026-09-23,Official shareholder information and AGM archive
TOTAL,TotalEnergies Nigeria,https://services.totalenergies.ng/totalenergies-marketing-nigeria-plc/financial-publications,2026-09-23,Official financial publications archive
UBA,United Bank for Africa,https://roa.ubagroup.com/investor-relations/financial-results/annual-report/,2026-09-23,Official annual reports archive
WAPCO,Lafarge Africa,https://www.lafarge.com.ng/financial-reports,2026-09-23,Official financial reports archive
ZENITHBANK,Zenith Bank,https://www.zenithbank.com/,2026-09-23,Official issuer site; direct annual-report URLs require manual review
