observation_date,series_name,tenor,annual_rate_percent,period_return_decimal,source_id
2023-01-11,CBN 91-day Nigerian Treasury Bill marginal rate,91D,2.0,,cbn-ntb-4264
2023-02-08,CBN 91-day Nigerian Treasury Bill marginal rate,91D,0.1,,cbn-ntb-4270
2023-02-22,CBN 91-day Nigerian Treasury Bill marginal rate,91D,3.0,,cbn-ntb-4273
2023-03-08,CBN 91-day Nigerian Treasury Bill marginal rate,91D,1.44,,cbn-ntb-4276
2023-03-15,CBN 91-day Nigerian Treasury Bill marginal rate,91D,2.55,,cbn-ntb-4279
2023-03-29,CBN 91-day Nigerian Treasury Bill marginal rate,91D,6.0,,cbn-ntb-4282
2023-04-12,CBN 91-day Nigerian Treasury Bill marginal rate,91D,6.0,,cbn-ntb-4285
2023-04-26,CBN 91-day Nigerian Treasury Bill marginal rate,91D,5.3,,cbn-ntb-4288
2023-05-10,CBN 91-day Nigerian Treasury Bill marginal rate,91D,4.5,,cbn-ntb-4291
2023-05-24,CBN 91-day Nigerian Treasury Bill marginal rate,91D,2.29,,cbn-ntb-4294
2023-06-07,CBN 91-day Nigerian Treasury Bill marginal rate,91D,4.48,,cbn-ntb-4297
2023-06-14,CBN 91-day Nigerian Treasury Bill marginal rate,91D,4.89,,cbn-ntb-4300
2023-06-30,CBN 91-day Nigerian Treasury Bill marginal rate,91D,2.87,,cbn-ntb-4303
2023-07-12,CBN 91-day Nigerian Treasury Bill marginal rate,91D,2.86,,cbn-ntb-4306
2023-07-26,CBN 91-day Nigerian Treasury Bill marginal rate,91D,6.0,,cbn-ntb-4309
2023-08-09,CBN 91-day Nigerian Treasury Bill marginal rate,91D,5.0,,cbn-ntb-4324
2023-08-23,CBN 91-day Nigerian Treasury Bill marginal rate,91D,5.19,,cbn-ntb-4330
2023-09-06,CBN 91-day Nigerian Treasury Bill marginal rate,91D,4.5,,cbn-ntb-4333
2023-09-28,CBN 91-day Nigerian Treasury Bill marginal rate,91D,4.99,,cbn-ntb-4339
2023-10-11,CBN 91-day Nigerian Treasury Bill marginal rate,91D,3.67,,cbn-ntb-4342
2023-10-25,CBN 91-day Nigerian Treasury Bill marginal rate,91D,5.999,,cbn-ntb-4345
2023-11-08,CBN 91-day Nigerian Treasury Bill marginal rate,91D,7.0,,cbn-ntb-4356
2023-12-06,CBN 91-day Nigerian Treasury Bill marginal rate,91D,9.0,,cbn-ntb-4387
2023-12-13,CBN 91-day Nigerian Treasury Bill marginal rate,91D,6.25,,cbn-ntb-4390
2023-12-27,CBN 91-day Nigerian Treasury Bill marginal rate,91D,7.0,,cbn-ntb-4396
